,location,total_sqft,bath,price,bhk
0,1St Block Jayanagar,2850.0,4.0,428.0,4
1,1St Block Jayanagar,1630.0,3.0,194.0,3
2,1St Block Jayanagar,1875.0,2.0,235.0,3
3,1St Block Jayanagar,1200.0,2.0,130.0,3
4,1St Block Jayanagar,1235.0,2.0,148.0,2
5,1St Block Jayanagar,2750.0,4.0,413.0,4
6,1St Block Jayanagar,2450.0,4.0,368.0,4
8,1St Phase Jp Nagar,1875.0,3.0,167.0,3
9,1St Phase Jp Nagar,1500.0,5.0,85.0,5
10,1St Phase Jp Nagar,2065.0,4.0,210.0,3
12,1St Phase Jp Nagar,2059.0,3.0,225.0,3
13,1St Phase Jp Nagar,1394.0,2.0,100.0,2
14,1St Phase Jp Nagar,1077.0,2.0,93.0,2
15,1St Phase Jp Nagar,1566.0,2.0,180.0,2
16,1St Phase Jp Nagar,840.0,2.0,50.0,1
17,1St Phase Jp Nagar,1590.0,3.0,131.0,3
18,1St Phase Jp Nagar,2180.0,3.0,210.0,3
19,1St Phase Jp Nagar,1180.0,2.0,88.5,2
20,1St Phase Jp Nagar,1200.0,2.0,86.0,2
21,1St Phase Jp Nagar,1394.0,2.0,85.0,2
22,1St Phase Jp Nagar,2077.0,3.0,175.0,3
24,1St Phase Jp Nagar,1205.0,2.0,85.0,2
26,1St Phase Jp Nagar,900.0,2.0,75.0,2
27,2Nd Phase Judicial Layout,1450.0,2.0,50.75,3
28,2Nd Phase Judicial Layout,1150.0,2.0,40.25,2
29,2Nd Phase Judicial Layout,1350.0,2.0,47.25,3
31,2Nd Phase Judicial Layout,900.0,2.0,41.0,2
32,2Nd Phase Judicial Layout,1681.0,3.0,69.0,3
35,2Nd Stage Nagarbhavi,1500.0,4.0,220.0,4
36,2Nd Stage Nagarbhavi,3000.0,8.0,451.0,6
37,2Nd Stage Nagarbhavi,2400.0,8.0,450.0,6
38,2Nd Stage Nagarbhavi,1350.0,4.0,200.0,4
39,2Nd Stage Nagarbhavi,1200.0,4.0,225.0,4
40,2Nd Stage Nagarbhavi,1500.0,3.0,230.0,4
41,5Th Block Hbr Layout,1206.0,2.0,56.0,2
42,5Th Block Hbr Layout,1270.0,2.0,70.0,3
43,5Th Block Hbr Layout,1312.0,2.0,69.0,2
44,5Th Block Hbr Layout,1100.0,2.0,48.0,2
45,5Th Block Hbr Layout,3600.0,5.0,130.0,5
46,5Th Block Hbr Layout,5100.0,5.0,300.0,6
47,5Th Phase Jp Nagar,1075.0,2.0,60.0,2
48,5Th Phase Jp Nagar,1150.0,3.0,52.5,2
49,5Th Phase Jp Nagar,1256.0,2.0,62.8,2
50,5Th Phase Jp Nagar,1207.0,2.0,63.0,2
51,5Th Phase Jp Nagar,1725.0,2.0,100.0,3
52,5Th Phase Jp Nagar,1440.0,2.0,60.0,2
53,5Th Phase Jp Nagar,1700.0,2.0,100.0,3
55,5Th Phase Jp Nagar,2500.0,5.0,110.0,5
56,5Th Phase Jp Nagar,600.0,1.0,30.0,1
57,5Th Phase Jp Nagar,1390.0,2.0,65.0,2
59,5Th Phase Jp Nagar,1000.0,2.0,48.0,2
60,5Th Phase Jp Nagar,1350.0,2.0,75.0,3
61,5Th Phase Jp Nagar,552.0,1.0,23.5,1
62,5Th Phase Jp Nagar,1200.0,2.0,51.0,2
66,5Th Phase Jp Nagar,1030.0,2.0,57.0,2
67,5Th Phase Jp Nagar,1200.0,2.0,68.0,2
68,5Th Phase Jp Nagar,1190.0,2.0,61.8,2
69,5Th Phase Jp Nagar,4000.0,5.0,170.0,5
70,5Th Phase Jp Nagar,1080.0,2.0,53.0,2
71,5Th Phase Jp Nagar,1041.0,2.0,54.0,2
72,5Th Phase Jp Nagar,812.0,2.0,42.0,2
73,5Th Phase Jp Nagar,1010.0,2.0,57.0,2
76,6Th Phase Jp Nagar,1192.0,2.0,74.0,2
77,6Th Phase Jp Nagar,1180.0,2.0,80.0,2
79,6Th Phase Jp Nagar,1645.0,3.0,100.0,3
80,6Th Phase Jp Nagar,1140.0,2.0,65.0,2
81,6Th Phase Jp Nagar,2040.0,3.0,200.0,3
